,#,FirstName,LastName,Name,State,Party,Score,Congress,CleanYear
489,403,Ken,Buck,Ken Buck,CO,R,-1.1962,114,2015
191,192,Ken,Calvert,Ken Calvert,CA,R,-0.25717,113,1993
585,68,Kendra,Horn,Kendra Horn,OK,D,0.96283,116,2019
411,413,Kenny,Marchant,Kenny Marchant,TX,R,-1.4086,113,2005
277,279,Kerry,Bentivolio,Kerry Bentivolio,MI,R,-0.62489,113,2013
214,216,Kevin,Brady,Kevin Brady,TX,R,-0.33724,113,1997
405,407,Kevin,Cramer,Kevin Cramer,ND,R,-1.3122,113,2013
668,384,Kevin,Hern,Kevin Hern,OK,R,-0.64899,116,2018
173,174,Kevin,McCarthy,Kevin McCarthy,CA,R,-0.19959,113,2007
205,207,Kevin,Yoder,Kevin Yoder,KS,R,-0.30905,113,2011
624,192,Kim,Schrier,Kim Schrier,WA,D,0.16952,116,2019
297,299,Kristi,Noem,Kristi Noem,SD,R,-0.70392,113,2011
9,10,Kurt,Schrader,Kurt Schrader,OR,D,1.27908,113,2009
78,79,Kyrsten,Sinema,Kyrsten Sinema,AZ,D,0.32315,113,2013
290,292,Lacy,Clay,Lacy Clay,MO,D,-0.68233,113,2001
174,175,Lamar,Smith,Lamar Smith,TX,R,-0.1997,113,1987
663,351,Lance,Gooden,Lance Gooden,TX,R,-0.48317,116,2019
185,186,Larry,Bucshon,Larry Bucshon,IN,R,-0.24571,113,2011
661,348,Lauren,Underwood,Lauren Underwood,IL,D,-0.46388,116,2019
224,226,Lee,Terry,Lee Terry,NE,R,-0.38387,113,1999
432,45,Lee,Zeldin,Lee Zeldin,NY,R,0.73631,114,2015
54,55,Leonard,Lance,Leonard Lance,NJ,R,0.59694,113,2009
180,181,Linda,Sánchez,Linda Sánchez,CA,D,-0.22405,113,2003
542,325,Lisa,Blunt Rochester,Lisa Blunt Rochester,DE,D,-0.64315,115,2017
551,380,Liz,Cheney,Liz Cheney,WY,R,-0.90541,115,2017
604,122,Lizzie Pannill,Fletcher,Lizzie Pannill Fletcher,TX,D,0.50006,116,2019
228,230,Lloyd,Doggett,Lloyd Doggett,TX,D,-0.42038,113,1995
532,249,Lloyd,Smucker,Lloyd Smucker,PA,R,-0.34832,115,2017
256,258,Lois,Capps,Lois Capps,CA,D,-0.50299,113,1998
247,249,Lois,Frankel,Lois Frankel,FL,D,-0.48599,113,2013
206,208,Loretta,Sanchez,Loretta Sanchez,CA,D,-0.31155,113,1997
639,267,Lori,Trahan,Lori Trahan,MA,D,-0.12752,116,2019
168,169,Lou,Barletta,Lou Barletta,PA,R,-0.1594,113,2011
527,200,Lou,Correa,Lou Correa,CA,D,-0.18615,115,2017
416,418,Louie,Gohmert,Louie Gohmert,TX,R,-1.49951,113,2005
265,267,Louise,Slaughter,Louise Slaughter,NY,D,-0.55937,113,1987
354,356,Lucille,Roybal-Allard,Lucille Roybal-Allard,CA,D,-0.92847,113,1993
618,172,Lucy,Mcbath,Lucy Mcbath,GA,D,0.23528,116,2019
494,418,Luis,Gutiérrez,Luis Gutiérrez,IL,D,-1.4644,114,1993
414,416,Luke,Messer,Luke Messer,IN,R,-1.48456,113,2013
165,166,Lynn,Jenkins,Lynn Jenkins,KS,R,-0.13182,113,2009
313,315,Lynn,Westmoreland,Lynn Westmoreland,GA,R,-0.7718,113,2003
311,313,Mac,Thornberry,Mac Thornberry,TX,R,-0.76516,113,1995
657,338,Madeleine,Dean,Madeleine Dean,PA,D,-0.41095,116,2019
273,275,Marc,Veasey,Marc Veasey,TX,D,-0.59465,113,2013
356,358,Marcia,Fudge,Marcia Fudge,OH,D,-0.94074,113,2008
203,205,Marcy,Kaptur,Marcy Kaptur,OH,D,-0.29338,113,1983
444,124,Mario,Diaz-Balart,Mario Diaz-Balart,FL,R,0.14547,114,2003
188,189,Mark,Amodei,Mark Amodei,NV,R,-0.25496,113,2011
465,277,Mark,DeSaulnier,Mark DeSaulnier,CA,D,-0.556,114,2015
650,313,Mark,Green,Mark Green,TN,R,-0.3013,116,2019
181,182,Mark,Meadows,Mark Meadows,NC,R,-0.22478,113,2013
388,390,Mark,Pocan,Mark Pocan,WI,D,-1.11359,113,2013
364,366,Mark,Sanford,Mark Sanford,SC,R,-1.01268,113,2013
451,180,Mark,Takai,Mark Takai,HA,D,-0.1718,114,2015
334,336,Mark,Takano,Mark Takano,CA,D,-0.82415,113,2013
479,371,Mark,Walker,Mark Walker,NC,R,-0.9381,114,2015
355,357,Markwayne,Mullin,Markwayne Mullin,OK,R,-0.93198,113,2013
363,365,Marlin,Stutzman,Marlin Stutzman,IN,R,-1.00515,113,2010
351,353,Marsha,Blackburn,Marsha Blackburn,TN,R,-0.891,113,2003
428,30,Martha,McSally,Martha McSally,AZ,R,0.9796,114,2015
396,398,Martha,Roby,Martha Roby,AL,R,-1.16751,113,2011
664,359,Mary Gay,Scanlon,Mary Gay Scanlon,PA,D,-0.53762,116,2018
151,152,Matt,Cartwright,Matt Cartwright,PA,D,-0.04894,113,2013
514,124,Matt,Gaetz,Matt Gaetz,FL,R,0.21239,115,2017
326,328,Matt,Salmon,Matt Salmon,AZ,R,-0.80429,113,2013
588,73,Max,Rose,Max Rose,NY,D,0.89914,116,2019
406,408,Maxine,Waters,Maxine Waters,CA,D,-1.3184,113,1991
417,419,Mel,Watt,Mel Watt,NC,D,-1.50481,113,1993
455,225,Mia,Love,Mia Love,UT,R,-0.3399,114,2015
138,139,Michael,Burgess,Michael Burgess,TX,R,0.01062,113,2003
266,268,Michael,Capuano,Michael Capuano,MA,D,-0.56031,113,1999
684,429,Michael,Cloud,Michael Cloud,TX,R,-1.27429,116,2018
623,186,Michael,Doyle,Michael Doyle,PA,D,0.18481,116,1995
2,3,Michael,Grimm,Michael Grimm,NY,R,2.20292,113,2011
662,350,Michael,Guest,Michael Guest,MS,R,-0.48168,116,2019
130,131,Michael,McCaul,Michael McCaul,TX,R,0.02932,113,2005
592,86,Michael,Waltz,Michael Waltz,FL,R,0.74534,116,2019
271,273,Michele,Bachmann,Michele Bachmann,MN,R,-0.57978,113,2007
282,284,Michelle,Lujan Grisham,Michelle Lujan Grisham,NM,D,-0.64289,113,2013
361,363,Mick,Mulvaney,Mick Mulvaney,SC,R,-0.96667,113,2011
522,173,Mike,Bishop,Mike Bishop,MI,R,-0.05791,115,2015
445,125,Mike,Bost,Mike Bost,IL,R,0.14473,114,2015
94,95,Mike,Coffman,Mike Coffman,CO,R,0.23512,113,2009
207,209,Mike,Conaway,Mike Conaway,TX,R,-0.32153,113,2005
75,76,Mike,Doyle,Mike Doyle,PA,D,0.35947,113,1995
5,6,Mike,Fitzpatrick,Mike Fitzpatrick,PA,R,1.53753,113,2011
519,156,Mike,Gallagher,Mike Gallagher,WI,R,0.04718,115,2017
378,380,Mike,Honda,Mike Honda,CA,D,-1.08056,113,2001
558,412,Mike,Johnson,Mike Johnson,LA,R,-1.16781,115,2017
303,305,Mike,Kelly,Mike Kelly,PA,R,-0.73629,113,2011
637,262,Mike,Levin,Mike Levin,CA,D,-0.09674,116,2019
36,37,Mike,McIntyre,Mike McIntyre,NC,D,0.77122,113,1997
68,69,Mike,Michaud,Mike Michaud,ME,D,0.39673,113,2001
252,254,Mike,Pompeo,Mike Pompeo,KS,R,-0.49418,113,2011
177,178,Mike,Quigley,Mike Quigley,IL,D,-0.21679,113,2009
116,117,Mike,Rogers,Mike Rogers,MI,R,0.10378,113,2001
157,158,Mike,Simpson,Mike Simpson,ID,R,-0.08372,113,1999
53,54,Mike,Thompson,Mike Thompson,CA,D,0.59863,113,1999
104,105,Mike,Turner,Mike Turner,OH,R,0.17187,113,2003
602,118,Mikie,Sherrill,Mikie Sherrill,NJ,D,0.52491,116,2019
440,102,Mimi,Walters,Mimi Walters,CA,R,0.24167,114,2015
335,337,Mo,Brooks,Mo Brooks,AL,R,-0.8255,113,2011
233,235,Morgan,Griffith,Morgan Griffith,VA,R,-0.43679,113,2011
671,392,Nanette,Barragan,Nanette Barragan,CA,D,-0.68814,116,2017
529,214,Neal,Dunn,Neal Dunn,FL,R,-0.23392,115,2017
50,51,Nick,Rahall,Nick Rahall,WV,D,0.65018,113,1977
348,350,Niki,Tsongas,Niki Tsongas,MA,D,-0.86864,113,2007
260,262,Nita,Lowey,Nita Lowey,NY,D,-0.53085,113,1989
477,361,Norma,Torres,Norma Torres,CA,D,-0.8682,114,2015
400,402,Nydia,Velázquez,Nydia Velázquez,NY,D,-1.20446,113,1993
35,36,Pat,Meehan,Pat Meehan,PA,R,0.77429,113,2011
70,71,Pat,Tiberi,Pat Tiberi,OH,R,0.37476,113,2001
319,321,Patrick,McHenry,Patrick McHenry,NC,R,-0.78715,113,2005
18,19,Patrick,Murphy,Patrick Murphy,FL,D,0.96725,113,2013
350,352,Paul,Broun,Paul Broun,GA,R,-0.87694,113,2007
23,24,Paul,Cook,Paul Cook,CA,R,0.87368,113,2013
167,168,Paul,Gosar,Paul Gosar,AZ,R,-0.14755,113,2011
528,208,Paul,Mitchell,Paul Mitchell,MI,R,-0.20827,115,2017
242,244,Paul,Ryan,Paul Ryan,WI,R,-0.46636,113,1999
204,206,Paul,Tonko,Paul Tonko,NY,D,-0.29768,113,2009
473,344,Pete,Aguilar,Pete Aguilar,CA,D,-0.7908,114,2015
289,291,Pete,Gallego,Pete Gallego,TX,D,-0.67883,113,2013
1,2,Pete,King,Pete King,NY,R,2.26093,113,1993
220,222,Pete,Olson,Pete Olson,TX,R,-0.35726,113,2009
286,288,Pete,Sessions,Pete Sessions,TX,R,-0.6663,113,1997
581,55,Pete,Stauber,Pete Stauber,MN,R,1.054,116,2019
443,121,Pete,Visclosky,Pete Visclosky,IN,D,0.15351,114,1985
236,238,Peter,DeFazio,Peter DeFazio,OR,D,-0.44015,113,1987
564,4,Peter,King,Peter King,NY,R,3.348,116,1993
112,113,Peter,Roskam,Peter Roskam,IL,R,0.12937,113,2007
155,156,Peter,Welch,Peter Welch,VT,D,-0.06492,113,2007
339,341,Phil,Gingrey,Phil Gingrey,GA,R,-0.84128,113,2003
293,295,Phil,Roe,Phil Roe,TN,R,-0.68841,113,2009
560,419,Pramila,Jayapal,Pramila Jayapal,WA,D,-1.28219,115,2017
408,410,Raúl,Grijalva,Raúl Grijalva,AZ,D,-1.34801,113,2003
259,261,Raúl,Labrador,Raúl Labrador,ID,R,-0.52502,113,2011
537,295,Raja,Krishnamoorthi,Raja Krishnamoorthi,IL,D,-0.51767,115,2017
463,273,Ralph,Abraham,Ralph Abraham,LA,R,-0.5494,114,2015
210,212,Ralph,Hall,Ralph Hall,TX,R,-0.32524,113,1981
556,409,Ralph,Norman,Ralph Norman,SC,R,-1.09654,115,2017
114,115,Randy,Hultgren,Randy Hultgren,IL,R,0.10607,113,2011
357,359,Randy,Neugebauer,Randy Neugebauer,TX,R,-0.9461,113,2003
401,403,Randy,Weber,Randy Weber,TX,R,-1.20678,113,2013
676,414,Rashida,Tlaib,Rashida Tlaib,MI,D,-1.00756,116,2019
135,136,Raul,Ruiz,Raul Ruiz,CA,D,0.01492,113,2013
134,135,Reid,Ribble,Reid Ribble,WI,R,0.01908,113,2011
145,146,Renee,Ellmers,Renee Ellmers,NC,R,-0.01708,113,2011
195,196,Rich,Nugent,Rich Nugent,FL,R,-0.2659,113,2011
4,5,Richard,Hanna,Richard Hanna,NY,R,1.75808,113,2011
221,223,Richard,Hudson,Richard Hudson,NC,R,-0.36879,113,2013
272,274,Richard,Neal,Richard Neal,MA,D,-0.58108,113,1989
496,425,Rick,Allen,Rick Allen,GA,R,-1.565,114,2015
347,349,Rick,Crawford,Rick Crawford,AR,R,-0.86728,113,2011
170,171,Rick,Larsen,Rick Larsen,WA,D,-0.17895,113,2001
118,119,Rick,Nolan,Rick Nolan,MN,D,0.08951,113,2013
535,286,Ro,Khanna,Ro Khanna,CA,D,-0.47585,115,2017
171,172,Rob,Andrews,Rob Andrews,NJ,D,-0.18639,113,1990
346,348,Rob,Bishop,Rob Bishop,UT,R,-0.86102,113,2003
156,157,Rob,Wittman,Rob Wittman,VA,R,-0.074,113,2007
377,379,Rob,Woodall,Rob Woodall,GA,R,-1.07638,113,2011
276,278,Robert,Aderholt,Robert Aderholt,AL,R,-0.61558,113,1997
323,325,Robert,Brady,Robert Brady,PA,D,-0.79381,113,1998
126,127,Robert,Hurt,Robert Hurt,VA,R,0.03695,113,2011
159,160,Robert,Pittenger,Robert Pittenger,NC,R,-0.09845,113,2013
340,342,Robin,Kelly,Robin Kelly,IL,D,-0.84365,113,2013
470,314,Rod,Blum,Rod Blum,IA,R,-0.6718,114,2015
25,26,Rodney,Davis,Rodney Davis,IL,R,0.83803,113,2013
110,111,Rodney,Frelinghuysen,Rodney Frelinghuysen,NJ,R,0.14592,113,1995
531,234,Roger,Marshall,Roger Marshall,KS,R,-0.29677,115,2017
345,347,Roger,Williams,Roger Williams,TX,R,-0.8509,113,2013
62,63,Ron,Barber,Ron Barber,AZ,D,0.49588,113,2012
369,371,Ron,DeSantis,Ron DeSantis,FL,R,-1.02635,113,2013
561,423,Ron,Estes,Ron Estes,KS,R,-1.36433,115,2017
17,18,Ron,Kind,Ron Kind,WI,D,0.98526,113,1997
651,314,Ron,Wright,Ron Wright,TX,R,-0.30965,116,2019
394,396,Rosa,DeLauro,Rosa DeLauro,CT,D,-1.12682,113,1991
641,277,Ross,Spano,Ross Spano,FL,R,-0.16375,116,2019
332,334,Rubén,Hinojosa,Ruben Hinojosa,TX,D,-0.82003,113,1997
459,242,Ruben,Gallego,Ruben Gallego,AZ,D,-0.4124,114,2015
536,293,Ruben,Kihuen,Ruben Kihuen,NV,D,-0.51159,115,2017
385,387,Rush,Holt,Rush Holt,NJ,D,-1.10603,113,1999
677,419,Russ,Fulcher,Russ Fulcher,ID,R,-1.08977,116,2019
434,57,Ryan,Costello,Ryan Costello,PA,R,0.58633,114,2015
468,302,Ryan,Zinke,Ryan Zinke,MT,R,-0.602,114,2015
521,160,Salud,Carbajal,Salud Carbajal,CA,D,0.0224,115,2017
128,129,Sam,Farr,Sam Farr,CA,D,0.03194,113,1993
218,220,Sam,Graves,Sam Graves,MO,R,-0.3498,113,2001
312,314,Sam,Johnson,Sam Johnson,TX,R,-0.76921,113,1991
213,215,Sandy,Levin,Sandy Levin,MI,D,-0.33549,113,1983
41,42,Sanford,Bishop,Sanford Bishop,GA,D,0.73422,113,1993
412,414,Scott,DesJarlais,Scott DesJarlais,TN,R,-1.43109,113,2011
281,283,Scott,Garrett,Scott Garrett,NJ,R,-0.64006,113,2003
250,252,Scott,Perry,Scott Perry,PA,R,-0.48855,113,2013
280,282,Scott,Peters,Scott Peters,CA,D,-0.63834,113,2013
101,102,Scott,Rigell,Scott Rigell,VA,R,0.18338,113,2011
504,32,Scott,Taylor,Scott Taylor,VA,R,1.14644,115,2017
306,308,Scott,Tipton,Scott Tipton,CO,R,-0.74358,113,2011
666,381,Sean,Casten,Sean Casten,IL,D,-0.64514,116,2019
317,319,Sean,Duffy,Sean Duffy,WI,R,-0.77962,113,2011
99,100,Sean,Maloney,Sean Maloney,NY,D,0.20036,113,2012
430,34,Seth,Moulton,Seth Moulton,MA,D,0.90871,114,2015
646,305,Sharice,Davids,Sharice Davids,KS,D,-0.28764,116,2019
371,373,Sheila,Jackson Lee,Sheila Jackson Lee,TX,D,-1.04388,113,1995
160,161,Shelley,Capito,Shelley Capito,WV,R,-0.10377,113,2001
92,93,Spencer,Bachus,Spencer Bachus,AL,R,0.24067,113,1993
146,147,Steny,Hoyer,Steny Hoyer,MD,D,-0.0194,113,1981
509,75,Stephanie,Murphy,Stephanie Murphy,FL,D,0.57005,115,2017
296,298,Stephen,Fincher,Stephen Fincher,TN,R,-0.70246,113,2011
215,217,Stephen,Lynch,Stephen Lynch,MA,D,-0.34386,113,2001
74,75,Steve,Chabot,Steve Chabot,OH,R,0.36289,113,2011
341,343,Steve,Cohen,Steve Cohen,TN,D,-0.84384,113,2007
358,360,Steve,Daines,Steve Daines,MT,R,-0.94905,113,2001
182,183,Steve,Israel,Steve Israel,NY,D,-0.23399,113,2001
403,405,Steve,King,Steve King,IA,R,-1.27816,113,2003
435,69,Steve,Knight,Steve Knight,CA,R,0.4953,114,2015
349,351,Steve,Pearce,Steve Pearce,NM,R,-0.87635,113,2011
484,389,Steve,Russell,Steve Russell,OK,R,-1.0705,114,2015
387,389,Steve,Scalise,Steve Scalise,LA,R,-1.11052,113,2008
367,369,Steve,Southerland,Steve Southerland,FL,R,-1.01941,113,2011
29,30,Steve,Stivers,Steve Stivers,OH,R,0.81931,113,2011
380,382,Steve,Stockman,Steve Stockman,TX,R,-1.08726,113,2013
631,228,Steve,Watkins,Steve Watkins,KS,R,0.02958,116,2019
217,219,Steve,Womack,Steve Womack,AR,R,-0.34781,113,2011
187,188,Steven,Horsford,Steven Horsford,NV,D,-0.25486,113,2013
294,296,Steven,Palazzo,Steven Palazzo,MS,R,-0.6891,113,2011
26,27,Susan,Brooks,Susan Brooks,IN,R,0.83598,113,2013
309,311,Susan,Davis,Susan Davis,CA,D,-0.75559,113,2001
606,130,Susan,Wild,Susan Wild,PA,D,0.44862,116,2018
596,98,Susie,Lee,Susie Lee,NV,D,0.67079,116,2019
172,173,Suzan,DelBene,Suzan DelBene,WA,D,-0.19733,113,2012
175,176,Suzanne,Bonamici,Suzanne Bonamici,OR,D,-0.20544,113,2012
660,343,Sylvia,Garcia,Sylvia Garcia,TX,D,-0.44702,116,2019
619,173,T.J.,Cox,T.J. Cox,CA,D,0.23256,116,2019
38,39,Tammy,Duckworth,Tammy Duckworth,IL,D,0.74216,113,2013
557,410,Ted,Budd,Ted Budd,NC,R,-1.12558,115,2017
267,269,Ted,Deutch,Ted Deutch,FL,D,-0.56361,113,2010
460,254,Ted,Lieu,Ted Lieu,CA,D,-0.4656,114,2015
132,133,Ted,Poe,Ted Poe,TX,R,0.02512,113,2005
300,302,Ted,Yoho,Ted Yoho,FL,R,-0.7256,113,2013
55,56,Terri,Sewell,Terri Sewell,AL,D,0.5886,113,2011
524,194,Thomas,Garrett,Thomas Garrett,VA,R,-0.16359,115,2017
154,155,Thomas,Massie,Thomas Massie,KY,R,-0.06253,113,2012
506,63,Thomas,Suozzi,Thomas Suozzi,NY,D,0.67391,115,2017
106,107,Tim,Bishop,Tim Bishop,NY,D,0.16609,113,2003
634,248,Tim,Burchett,Tim Burchett,TN,R,-0.05498,116,2019
315,317,Tim,Griffin,Tim Griffin,AR,R,-0.77289,113,2011
420,422,Tim,Huelskamp,Tim Huelskamp,KS,R,-1.74617,113,2011
124,125,Tim,Murphy,Tim Murphy,PA,R,0.06466,113,2003
44,45,Tim,Ryan,Tim Ryan,OH,D,0.71335,113,2003
310,312,Tim,Walberg,Tim Walberg,MI,R,-0.76002,113,2011
19,20,Tim,Walz,Tim Walz,MN,D,0.95546,113,2007
331,333,Todd,Rokita,Todd Rokita,IN,R,-0.81843,113,2011
192,193,Todd,Young,Todd Young,IN,R,-0.26198,113,2011
96,97,Tom,Cole,Tom Cole,OK,R,0.21205,113,2003
393,395,Tom,Cotton,Tom Cotton,AR,R,-1.11961,113,2013
457,238,Tom,Emmer,Tom Emmer,MN,R,-0.3948,114,2015
324,326,Tom,Graves,Tom Graves,GA,R,-0.80318,113,2010
30,31,Tom,Latham,Tom Latham,IA,R,0.79689,113,1995
431,44,Tom,MacArthur,Tom MacArthur,NJ,R,0.74188,114,2015
607,131,Tom,Malinowski,Tom Malinowski,NJ,D,0.43254,116,2019
82,83,Tom,Marino,Tom Marino,PA,R,0.2933,113,2011
375,377,Tom,McClintock,Tom McClintock,CA,R,-1.07027,113,2009
569,20,Tom,O'halleran,Tom O'halleran,AZ,D,1.63282,116,2017
20,21,Tom,Petri,Tom Petri,WI,R,0.92669,113,1979
344,346,Tom,Price,Tom Price,GA,R,-0.84832,113,2005
52,53,Tom,Reed,Tom Reed,NY,R,0.62216,113,2010
474,346,Tom,Rice,Tom Rice,SC,R,-0.7957,114,2013
66,67,Tom,Rooney,Tom Rooney,FL,R,0.45564,113,2009
255,257,Tony,Cárdenas,Tony Cárdenas,CA,D,-0.49833,113,2013
212,214,Trent,Franks,Trent Franks,AZ,R,-0.33525,113,2003
523,178,Trent,Kelly,Trent Kelly,MS,R,-0.1073,115,2015
404,406,Trey,Gowdy,Trey Gowdy,SC,R,-1.30582,113,2011
534,284,Trey,Hollingsworth,Trey Hollingsworth,IN,R,-0.4674,115,2017
287,289,Trey,Radel,Trey Radel,FL,R,-0.66931,113,2013
603,121,Troy,Balderson,Troy Balderson,OH,R,0.50926,116,2018
43,44,Tulsi,Gabbard,Tulsi Gabbard,HI,D,0.71825,113,2013
539,307,Val,Demings,Val Demings,FL,D,-0.54691,115,2017
570,22,Van,Taylor,Van Taylor,TX,R,1.56865,116,2019
372,374,Vance,McAllister,Vance McAllister,LA,R,-1.0493,113,2013
166,167,Vern,Buchanan,Vern Buchanan,FL,R,-0.13642,113,2007
656,333,Veronica,Escobar,Veronica Escobar,TX,D,-0.38365,116,2019
505,62,Vicente,Gonzalez,Vicente Gonzalez,TX,D,0.69026,115,2017
