,#,FirstName,LastName,Name,State,Party,Score,Congress,CleanYear
318,320,Chellie,Pingree,Chellie Pingree,ME,D,-0.78578,113,2009.0
319,321,Patrick,McHenry,Patrick McHenry,NC,R,-0.78715,113,2005.0
320,322,Bobby,Scott,Bobby Scott,VA,D,-0.79125,113,1993.0
321,323,Billy,Long,Billy Long,MO,R,-0.79142,113,2011.0
322,324,Diane,Black,Diane Black,TN,R,-0.79336,113,2011.0
323,325,Robert,Brady,Robert Brady,PA,D,-0.79381,113,
324,326,Tom,Graves,Tom Graves,GA,R,-0.80318,113,2010.0
325,327,Jim,McDermott,Jim McDermott,WA,D,-0.80379,113,1989.0
326,328,Matt,Salmon,Matt Salmon,AZ,R,-0.80429,113,2013.0
327,329,Carol,Shea-Porter,Carol Shea-Porter,NH,D,-0.80467,113,2013.0
328,330,Bobby,Rush,Bobby Rush,IL,D,-0.81331,113,1993.0
329,331,Jared,Huffman,Jared Huffman,CA,D,-0.81735,113,2013.0
330,332,Keith,Rothfus,Keith Rothfus,PA,R,-0.81828,113,2013.0
331,333,Todd,Rokita,Todd Rokita,IN,R,-0.81843,113,2011.0
332,334,Rubén,Hinojosa,Rubén Hinojosa,TX,D,-0.82003,113,
333,335,Jim,Himes,Jim Himes,CT,D,-0.82248,113,2009.0
334,336,Mark,Takano,Mark Takano,CA,D,-0.82415,113,2013.0
335,337,Mo,Brooks,Mo Brooks,AL,R,-0.8255,113,2011.0
336,338,John,Lewis,John Lewis,GA,D,-0.82711,113,1987.0
337,339,Frederica,Wilson,Frederica Wilson,FL,D,-0.82827,113,2011.0
338,340,Frank,Lucas,Frank Lucas,OK,R,-0.83033,113,2003.0
339,341,Phil,Gingrey,Phil Gingrey,GA,R,-0.84128,113,2003.0
340,342,Robin,Kelly,Robin Kelly,IL,D,-0.84365,113,2013.0
341,343,Steve,Cohen,Steve Cohen,TN,D,-0.84384,113,2007.0
342,344,Danny,Davis,Danny Davis,IL,D,-0.84629,113,
343,345,Elijah,Cummings,Elijah Cummings,MD,D,-0.84703,113,1996.0
344,346,Tom,Price,Tom Price,GA,R,-0.84832,113,2005.0
345,347,Roger,Williams,Roger Williams,TX,R,-0.8509,113,2013.0
346,348,Rob,Bishop,Rob Bishop,UT,R,-0.86102,113,2003.0
347,349,Rick,Crawford,Rick Crawford,AR,R,-0.86728,113,2011.0
348,350,Niki,Tsongas,Niki Tsongas,MA,D,-0.86864,113,2007.0
349,351,Steve,Pearce,Steve Pearce,NM,R,-0.87635,113,2011.0
350,352,Paul,Broun,Paul Broun,GA,R,-0.87694,113,2007.0
351,353,Marsha,Blackburn,Marsha Blackburn,TN,R,-0.891,113,2003.0
352,354,Judy,Chu,Judy Chu,CA,D,-0.91042,113,2009.0
353,355,Adrian,Smith,Adrian Smith,NE,R,-0.92547,113,2007.0
354,356,Lucille,Roybal-Allard,Lucille Roybal-Allard,CA,D,-0.92847,113,1993.0
355,357,Markwayne,Mullin,Markwayne Mullin,OK,R,-0.93198,113,2013.0
356,358,Marcia,Fudge,Marcia Fudge,OH,D,-0.94074,113,2008.0
357,359,Randy,Neugebauer,Randy Neugebauer,TX,R,-0.9461,113,2003.0
358,360,Steve,Daines,Steve Daines,MT,R,-0.94905,113,2001.0
359,361,John,Yarmuth,John Yarmuth,KY,D,-0.96593,113,2007.0
360,362,David,Cicilline,David Cicilline,RI,D,-0.96626,113,2011.0
361,363,Mick,Mulvaney,Mick Mulvaney,SC,R,-0.96667,113,2011.0
362,364,Janice,Hahn,Janice Hahn,CA,D,-0.99957,113,2011.0
363,365,Marlin,Stutzman,Marlin Stutzman,IN,R,-1.00515,113,2010.0
364,366,Mark,Sanford,Mark Sanford,SC,R,-1.01268,113,
365,367,Yvette,Clarke,Yvette Clarke,NY,D,-1.01361,113,2007.0
366,368,Keith,Ellison,Keith Ellison,MN,D,-1.0174,113,2007.0
367,369,Steve,Southerland,Steve Southerland,FL,R,-1.01941,113,2011.0
368,370,James,Lankford,James Lankford,OK,R,-1.02371,113,2011.0
369,371,Ron,DeSantis,Ron DeSantis,FL,R,-1.02635,113,2013.0
370,372,John,Conyers,John Conyers,MI,D,-1.03329,113,1965.0
371,373,Sheila,Jackson Lee,Sheila Jackson Lee,TX,D,-1.04388,113,1995.0
372,374,Vance,McAllister,Vance McAllister,LA,R,-1.0493,113,
373,375,David,Schweikert,David Schweikert,AZ,R,-1.05886,113,2011.0
374,376,Gwen,Moore,Gwen Moore,WI,D,-1.06241,113,2005.0
375,377,Tom,McClintock,Tom McClintock,CA,R,-1.07027,113,2009.0
376,378,John,Culberson,John Culberson,TX,R,-1.0724,113,2001.0
377,379,Rob,Woodall,Rob Woodall,GA,R,-1.07638,113,2011.0
378,380,Mike,Honda,Mike Honda,CA,D,-1.08056,113,2001.0
379,381,Barbara,Lee,Barbara Lee,CA,D,-1.08666,113,1998.0
380,382,Steve,Stockman,Steve Stockman,TX,R,-1.08726,113,2013.0
381,383,Gregorio,Sablan,Gregorio Sablan,MP,D,-1.09032,113,
382,384,Doug,Lamborn,Doug Lamborn,CO,R,-1.09291,113,2007.0
383,385,Jan,Schakowsky,Jan Schakowsky,IL,D,-1.09409,113,1999.0
384,386,Jerry,Nadler,Jerry Nadler,NY,D,-1.09959,113,1992.0
385,387,Rush,Holt,Rush Holt,NJ,D,-1.10603,113,
386,388,Alan,Grayson,Alan Grayson,FL,D,-1.11016,113,2013.0
387,389,Steve,Scalise,Steve Scalise,LA,R,-1.11052,113,2008.0
388,390,Mark,Pocan,Mark Pocan,WI,D,-1.11359,113,2013.0
389,391,Grace,Napolitano,Grace Napolitano,CA,D,-1.11364,113,1999.0
390,392,George,Miller,George Miller,CA,D,-1.11379,113,1975.0
391,393,Chuck,Fleischmann,Chuck Fleischmann,TN,R,-1.11551,113,2011.0
392,394,Austin,Scott,Austin Scott,GA,R,-1.11612,113,2011.0
393,395,Tom,Cotton,Tom Cotton,AR,R,-1.11961,113,2013.0
394,396,Rosa,DeLauro,Rosa DeLauro,CT,D,-1.12682,113,1991.0
395,397,Daniel,Webster,Daniel Webster,FL,R,-1.1666,113,2011.0
396,398,Martha,Roby,Martha Roby,AL,R,-1.16751,113,2011.0
397,399,Andy,Harris,Andy Harris,MD,R,-1.18254,113,2011.0
398,400,Jack,Kingston,Jack Kingston,GA,R,-1.20083,113,1993.0
399,401,John,Fleming,John Fleming,LA,R,-1.20126,113,2009.0
400,402,Nydia,Velázquez,Nydia Velázquez,NY,D,-1.20446,113,
401,403,Randy,Weber,Randy Weber,TX,R,-1.20678,113,2013.0
402,404,Alan,Lowenthal,Alan Lowenthal,CA,D,-1.21699,113,2013.0
403,405,Steve,King,Steve King,IA,R,-1.27816,113,2003.0
404,406,Trey,Gowdy,Trey Gowdy,SC,R,-1.30582,113,2011.0
405,407,Kevin,Cramer,Kevin Cramer,ND,R,-1.3122,113,2013.0
406,408,Maxine,Waters,Maxine Waters,CA,D,-1.3184,113,1991.0
407,409,Eleanor,Norton,Eleanor Norton,DC,D,-1.32595,113,
408,410,Raúl,Grijalva,Raúl Grijalva,AZ,D,-1.34801,113,
409,411,Jeff,Duncan,Jeff Duncan,SC,R,-1.36428,113,2011.0
410,412,Henry,Waxman,Henry Waxman,CA,D,-1.38128,113,1975.0
411,413,Kenny,Marchant,Kenny Marchant,TX,R,-1.4086,113,2005.0
412,414,Scott,DesJarlais,Scott DesJarlais,TN,R,-1.43109,113,2011.0
413,415,Jason,Smith,Jason Smith,MO,R,-1.4447,113,2013.0
414,416,Luke,Messer,Luke Messer,IN,R,-1.48456,113,2013.0
415,417,José,Serrano,José Serrano,NY,D,-1.4846,113,
416,418,Louie,Gohmert,Louie Gohmert,TX,R,-1.49951,113,2005.0
417,419,Mel,Watt,Mel Watt,NC,D,-1.50481,113,1993.0
418,420,Donna,Christensen,Donna Christensen,VI,D,-1.64911,113,
419,421,Donna,Edwards,Donna Edwards,MD,D,-1.66006,113,2008.0
420,422,Tim,Huelskamp,Tim Huelskamp,KS,R,-1.74617,113,2011.0
421,5,Bob,Dold,Bob Dold,IL,R,1.76693,114,
422,9,Gwen,Graham,Gwen Graham,FL,D,1.46203,114,
423,11,Carlos,Curbelo,Carlos Curbelo,FL,R,1.37491,114,
424,12,John,Katko,John Katko,NY,R,1.33285,114,2015.0
425,14,Brad,Ashford,Brad Ashford,NE,D,1.27666,114,
426,15,Dan,Donovan,Dan Donovan,NY,R,1.23381,114,
427,28,Amata,Radewagen,Amata Radewagen,AS,R,1.01874,114,
428,30,Martha,McSally,Martha McSally,AZ,R,0.9796,114,
429,31,Elise,Stefanik,Elise Stefanik,NY,R,0.95538,114,2015.0
430,34,Seth,Moulton,Seth Moulton,MA,D,0.90871,114,2015.0
431,44,Tom,MacArthur,Tom MacArthur,NJ,R,0.74188,114,
432,45,Lee,Zeldin,Lee Zeldin,NY,R,0.73631,114,2015.0
433,48,David,Jolly,David Jolly,FL,R,0.64522,114,
434,57,Ryan,Costello,Ryan Costello,PA,R,0.58633,114,
435,69,Steve,Knight,Steve Knight,CA,R,0.4953,114,
436,77,Beto,O’Rourke,Beto O’Rourke,TX,D,0.44,114,
437,82,Barbara,Comstock,Barbara Comstock,VA,R,0.42253,114,
438,86,Curt,Clawson,Curt Clawson,FL,R,0.36222,114,
439,101,Dutch,Ruppersberger,Dutch Ruppersberger,MD,D,0.24673,114,2003.0
440,102,Mimi,Walters,Mimi Walters,CA,R,0.24167,114,
441,112,Will,Hurd,Will Hurd,TX,R,0.20057,114,2015.0
442,115,Kathleen,Rice,Kathleen Rice,NY,D,0.1898,114,2015.0
443,121,Pete,Visclosky,Pete Visclosky,IN,D,0.15351,114,1985.0
444,124,Mario,Diaz-Balart,Mario Diaz-Balart,FL,R,0.14547,114,2003.0
445,125,Mike,Bost,Mike Bost,IL,R,0.14473,114,2015.0
446,129,Frank,Guinta,Frank Guinta,NH,R,0.12311,114,2011.0
447,133,Garret,Graves,Garret Graves,LA,R,0.10146,114,2015.0
448,143,David,Young,David Young,IA,R,0.03544,114,
449,155,Evan,Jenkins,Evan Jenkins,WV,R,-0.0153,114,
450,166,Bruce,Poliquin,Bruce Poliquin,ME,R,-0.0855,114,
451,180,Mark,Takai,Mark Takai,HA,D,-0.1718,114,
452,191,Dave,Trott,Dave Trott,MI,R,-0.2208,114,
453,194,Don,Beyer,Don Beyer,VA,D,-0.2253,114,2015.0
454,219,Donald,Norcross,Donald Norcross,NJ,D,-0.3174,114,2014.0
455,225,Mia,Love,Mia Love,UT,R,-0.3399,114,
456,235,Dan,Newhouse,Dan Newhouse,WA,R,-0.3888,114,2015.0
457,238,Tom,Emmer,Tom Emmer,MN,R,-0.3948,114,2015.0
458,239,French,Hill,French Hill,AR,R,-0.3961,114,2015.0
459,242,Ruben,Gallego,Ruben Gallego,AZ,D,-0.4124,114,2015.0
460,254,Ted,Lieu,Ted Lieu,CA,D,-0.4656,114,2015.0
461,258,Brendan,Boyle,Brendan Boyle,PA,D,-0.4938,114,2015.0
462,259,Alma,Adams,Alma Adams,NC,D,-0.5029,114,2014.0
463,273,Ralph,Abraham,Ralph Abraham,LA,R,-0.5494,114,2015.0
464,276,Buddy,Carter,Buddy Carter,GA,R,-0.5518,114,2015.0
465,277,Mark,DeSaulnier,Mark DeSaulnier,CA,D,-0.556,114,2015.0
466,297,Alex,Mooney,Alex Mooney,WV,R,-0.5924,114,2015.0
467,299,Debbie,Dingell,Debbie Dingell,MI,D,-0.5976,114,2015.0
468,302,Ryan,Zinke,Ryan Zinke,MT,R,-0.602,114,
469,312,John,Moolenaar,John Moolenaar,MI,R,-0.6553,114,2015.0
470,314,Rod,Blum,Rod Blum,IA,R,-0.6718,114,
471,330,Brad,Wenstrup,Brad Wenstrup,OH,R,-0.7371,114,2013.0
472,342,John,Mica,John Mica,FL,R,-0.7862,114,1993.0
473,344,Pete,Aguilar,Pete Aguilar,CA,D,-0.7908,114,2015.0
474,346,Tom,Rice,Tom Rice,SC,R,-0.7957,114,2013.0
475,354,Bradley,Byrne,Bradley Byrne,AL,R,-0.8227,114,2014.0
476,358,Corrine,Brown,Corrine Brown,FL,D,-0.837,114,1993.0
477,361,Norma,Torres,Norma Torres,CA,D,-0.8682,114,2015.0
478,367,Brenda,Lawrence,Brenda Lawrence,MI,D,-0.9152,114,2015.0
479,371,Mark,Walker,Mark Walker,NC,R,-0.9381,114,2015.0
480,373,Cresent,Hardy,Cresent Hardy,NV,R,-0.9553,114,
481,374,James,Clyburn,James Clyburn,SC,D,-0.962,114,
482,383,Jody,Hice,Jody Hice,GA,R,-1.0433,114,2015.0
483,385,David,Rouzer,David Rouzer,NC,R,-1.0475,114,2015.0
484,389,Steve,Russell,Steve Russell,OK,R,-1.0705,114,
485,391,John,Ratcliffe,John Ratcliffe,TX,R,-1.08,114,2015.0
486,398,Barry,Loudermilk,Barry Loudermilk,GA,R,-1.1281,114,2015.0
487,399,Bruce,Westerman,Bruce Westerman,AR,R,-1.1544,114,2015.0
488,401,Dave,Brat,Dave Brat,VA,R,-1.1907,114,
489,403,Ken,Buck,Ken Buck,CO,R,-1.1962,114,2015.0
490,405,Stacey,Plaskett,Stacey Plaskett,VI,D,-1.2035,114,
491,407,Brian,Babin,Brian Babin,TX,R,-1.2214,114,2015.0
492,411,Xavier,Becerra,Xavier Becerra,CA,D,-1.2533,114,1993.0
493,416,Gary,Palmer,Gary Palmer,AL,R,-1.4531,114,2015.0
494,418,Luis,Gutiérrez,Luis Gutiérrez,IL,D,-1.4644,114,
495,419,Bonnie,Watson Coleman,Bonnie Watson Coleman,NJ,D,-1.4791,114,2015.0
496,425,Rick,Allen,Rick Allen,GA,R,-1.565,114,
497,426,Glenn,Grothman,Glenn Grothman,WI,R,-1.6036,114,2015.0
498,2,Brian,Fitzpatrick,Brian Fitzpatrick,PA,R,2.1912,115,2017.0
499,6,Collin,Peterson,Collin Peterson,MN,D,2.01199,115,1991.0
500,10,Josh,Gottheimer,Josh Gottheimer,NJ,D,1.73974,115,2017.0
501,13,John,Faso,John Faso,NY,R,1.57356,115,
502,22,Jenniffer,González,Jenniffer González,PR,R,1.38136,115,
503,31,Brian,Mast,Brian Mast,FL,R,1.16743,115,2017.0
504,32,Scott,Taylor,Scott Taylor,VA,R,1.14644,115,
505,62,Vicente,Gonzalez,Vicente Gonzalez,TX,D,0.69026,115,
506,63,Thomas,Suozzi,Thomas Suozzi,NY,D,0.67391,115,2017.0
507,66,Jack,Bergman,Jack Bergman,MI,R,0.64166,115,2017.0
508,68,Jacky,Rosen,Jacky Rosen,NV,D,0.625,115,
509,75,Stephanie,Murphy,Stephanie Murphy,FL,D,0.57005,115,2017.0
510,81,Don,Bacon,Don Bacon,NE,R,0.51116,115,2017.0
511,95,Brad,Schneider,Brad Schneider,IL,D,0.36639,115,2013.0
512,99,Claudia,Tenney,Claudia Tenney,NY,R,0.33315,115,
513,121,Jason,Lewis,Jason Lewis,MN,R,0.21684,115,
514,124,Matt,Gaetz,Matt Gaetz,FL,R,0.21239,115,2017.0
515,125,Tom,O’Halleran,Tom O’Halleran,AZ,D,0.20996,115,
516,130,John,Rutherford,John Rutherford,FL,R,0.17389,115,2017.0
517,144,Charlie,Crist,Charlie Crist,FL,D,0.1133,115,2017.0
518,145,Jimmy,Panetta,Jimmy Panetta,CA,D,0.11055,115,2017.0
519,156,Mike,Gallagher,Mike Gallagher,WI,R,0.04718,115,2017.0
520,157,James,Comer,James Comer,KY,R,0.03158,115,2016.0
521,160,Salud,Carbajal,Salud Carbajal,CA,D,0.0224,115,2017.0
522,173,Mike,Bishop,Mike Bishop,MI,R,-0.05791,115,
523,178,Trent,Kelly,Trent Kelly,MS,R,-0.1073,115,2015.0
524,194,Thomas,Garrett,Thomas Garrett,VA,R,-0.16359,115,
525,198,Jodey,Arrington,Jodey Arrington,TX,R,-0.18153,115,2017.0
526,199,Darin,LaHood,Darin LaHood,IL,R,-0.1853,115,2015.0
527,200,Lou,Correa,Lou Correa,CA,D,-0.18615,115,2017.0
528,208,Paul,Mitchell,Paul Mitchell,MI,R,-0.20827,115,2017.0
529,214,Neal,Dunn,Neal Dunn,FL,R,-0.23392,115,2017.0
530,233,Francis,Rooney,Francis Rooney,FL,R,-0.29086,115,2017.0
531,234,Roger,Marshall,Roger Marshall,KS,R,-0.29677,115,2017.0
532,249,Lloyd,Smucker,Lloyd Smucker,PA,R,-0.34832,115,2017.0
533,271,David,Kustoff,David Kustoff,TN,R,-0.41232,115,2017.0
534,284,Trey,Hollingsworth,Trey Hollingsworth,IN,R,-0.4674,115,2017.0
535,286,Ro,Khanna,Ro Khanna,CA,D,-0.47585,115,2017.0
536,293,Ruben,Kihuen,Ruben Kihuen,NV,D,-0.51159,115,
537,295,Raja,Krishnamoorthi,Raja Krishnamoorthi,IL,D,-0.51767,115,2017.0
538,302,Darren,Soto,Darren Soto,FL,D,-0.54154,115,2017.0
539,307,Val,Demings,Val Demings,FL,D,-0.54691,115,2017.0
540,315,Al,Lawson,Al Lawson,FL,D,-0.58315,115,2017.0
541,320,Karen,Handel,Karen Handel,GA,R,-0.60972,115,
542,325,Lisa,Blunt Rochester,Lisa Blunt Rochester,DE,D,-0.64315,115,2017.0
543,343,Jim,Banks,Jim Banks,IN,R,-0.7166,115,2017.0
544,345,Dwight,Evans,Dwight Evans,PA,D,-0.72106,115,2016.0
545,349,Adriano,Espaillat,Adriano Espaillat,NY,D,-0.75119,115,2017.0
546,355,John,Curtis,John Curtis,UT,R,-0.77702,115,2017.0
547,360,Anthony,Brown,Anthony Brown,MD,D,-0.78554,115,
548,366,Greg,Gianforte,Greg Gianforte,MT,R,-0.86338,115,2017.0
549,368,Clay,Higgins,Clay Higgins,LA,R,-0.86878,115,2017.0
550,372,Drew,Ferguson,Drew Ferguson,GA,R,-0.87832,115,2017.0
551,380,Liz,Cheney,Liz Cheney,WY,R,-0.90541,115,2017.0
552,382,Donald,McEachin,Donald McEachin,VA,D,-0.9209,115,2017.0
553,384,Warren,Davidson,Warren Davidson,OH,R,-0.93256,115,2016.0
554,390,Jamie,Raskin,Jamie Raskin,MD,D,-1.00913,115,2017.0
555,407,Andy,Biggs,Andy Biggs,AZ,R,-1.08809,115,2017.0
556,409,Ralph,Norman,Ralph Norman,SC,R,-1.09654,115,2017.0
557,410,Ted,Budd,Ted Budd,NC,R,-1.12558,115,2017.0
558,412,Mike,Johnson,Mike Johnson,LA,R,-1.16781,115,2017.0
559,414,Nanette,Barragán,Nanette Barragán,CA,D,-1.18735,115,
560,419,Pramila,Jayapal,Pramila Jayapal,WA,D,-1.28219,115,2017.0
561,423,Ron,Estes,Ron Estes,KS,R,-1.36433,115,2017.0
562,433,Jimmy,Gomez,Jimmy Gomez,CA,D,-1.44544,115,2017.0
563,434,Jeb,Hensarling,Jeb Hensarling,TX,R,-1.54638,115,2003.0
564,4,Peter,King,Peter King,NY,R,3.348,116,1993.0
565,9,Abigail,Spanberger,Abigail Spanberger,VA,D,2.30736,116,2019.0
566,12,Dean,Phillips,Dean Phillips,MN,D,2.02728,116,2019.0
567,17,Joe,Cunningham,Joe Cunningham,SC,D,1.76579,116,2019.0
568,18,Anthony,Brindisi,Anthony Brindisi,NY,D,1.74901,116,2019.0
569,20,Tom,O'halleran,Tom O'halleran,AZ,D,1.63282,116,
570,22,Van,Taylor,Van Taylor,TX,R,1.56865,116,2019.0
571,24,Antonio,Delgado,Antonio Delgado,NY,D,1.50087,116,2019.0
572,32,Elaine,Luria,Elaine Luria,VA,D,1.41624,116,2019.0
573,38,Ann McLane,Kuster,Ann McLane Kuster,NH,D,1.30242,116,
574,39,Anthony,Gonzalez,Anthony Gonzalez,OH,R,1.29965,116,2019.0
575,40,Ben,Mcadams,Ben Mcadams,UT,D,1.27925,116,
576,41,Joe,Neguse,Joe Neguse,CO,D,1.2638,116,2019.0
577,44,David,Joyce,David Joyce,OH,R,1.19926,116,2013.0
578,45,Conor,Lamb,Conor Lamb,PA,D,1.19867,116,2018.0
579,49,David,Trone,David Trone,MD,D,1.1325,116,2019.0
580,50,Cindy,Axne,Cindy Axne,IA,D,1.13045,116,2019.0
581,55,Pete,Stauber,Pete Stauber,MN,R,1.054,116,2019.0
582,60,Darin,Lahood,Darin Lahood,IL,R,1.02415,116,
583,63,Jason,Crow,Jason Crow,CO,D,1.01193,116,2019.0
584,65,Elissa,Slotkin,Elissa Slotkin,MI,D,1.00082,116,2019.0
585,68,Kendra,Horn,Kendra Horn,OK,D,0.96283,116,2019.0
586,70,Abby,Finkenauer,Abby Finkenauer,IA,D,0.95556,116,2019.0
587,72,Josh,Harder,Josh Harder,CA,D,0.92242,116,2019.0
588,73,Max,Rose,Max Rose,NY,D,0.89914,116,2019.0
589,75,Andy,Kim,Andy Kim,NJ,D,0.8799,116,2019.0
590,77,Jared,Golden,Jared Golden,ME,D,0.83044,116,2019.0
591,84,Guy,Reschenthaler,Guy Reschenthaler,PA,R,0.76908,116,2019.0
592,86,Michael,Waltz,Michael Waltz,FL,R,0.74534,116,2019.0
593,91,James,Langevin,James Langevin,RI,D,0.71725,116,2001.0
